"Global Group Health Insurance Market - Customer Database
Verified directory and insight on customers",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Customer Information,,,,,,,Contact Details,,,,,,Purchase Metrics,,,,,Digital & Technology Adoption Metrics,,,Future Demand & Expansion Metrics,,,,CMI Insights,
,Customer Name,Company Name,"Type of Business (SME, Large Enterprise, Startup, NGO, Govt)",Industry / Sector,Facility/Operational Footprint,Total Annual Revenue (US$ Million),Current Employee Demographics,Key Contact Person,Designation/Role,Email Address,Phone/WhatsApp Number,LinkedIn Profile,Website URL,Current Annual Premium Spend ($),Employer–Employee Contribution Split (%),Average Premium per Employee ($),Claim Ratio (Last 3 Years),Top 3 Pain Points With Existing Provider,% Employees Using Digital Health/Wellness Apps,Digital Claims Utilization Rate (%),Telemedicine Utilization Rate (%),Expected Employee Growth in Next 3 Years,Expected Increase in Insurance Budget (%),Likelihood of Switching Provider (1–10),Other Key Needs (If Any),Customer Benchmarking Summary (Potential Customers),Additional Comments/Notes By CMI team
1,Customer 1,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
2,Customer 2,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
3,Customer 3,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
4,Customer 4,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
5,Customer 5,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
6,Customer 6,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
7,Customer 7,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
8,Customer 8,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
9,Customer 9,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
10,Customer 10,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
11,Customer 11,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
12,Customer 12,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
13,Customer 13,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
14,Customer 14,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
15,Customer N,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx
